ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (g),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Swatches Attributes,Marcas,Datos personalizados de Blocksy,Imágenes de variación de Blocksy,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Meta: _wc_facebook_sync_enabled,Meta: fb_visibility,Meta: _wc_facebook_sync_enabled_v2,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Meta: fb_product_group_id,Meta: stackable_optimized_css,Meta: fb_product_item_id,Meta: fb_product_description,Meta: fb_rich_text_description,Meta: _wc_facebook_product_image_source,Meta: fb_brand,Meta: fb_mpn,Meta: fb_size,Meta: fb_color,Meta: fb_material,Meta: fb_pattern,Meta: fb_age_group,Meta: fb_gender,Meta: fb_product_condition,Meta: _wc_facebook_enhanced_catalog_attributes_storage_capacity,Meta: _wc_facebook_enhanced_catalog_attributes_screen_size,Meta: _wc_facebook_enhanced_catalog_attributes_operating_system,Meta: _wc_facebook_enhanced_catalog_attributes_model,Meta: _wc_facebook_enhanced_catalog_attributes_standard_features,Meta: _wc_facebook_enhanced_catalog_attributes_standby_time,Meta: _wc_facebook_enhanced_catalog_attributes_u_s_b_type,Meta: _wc_facebook_enhanced_catalog_attributes_talk_time,Meta: _wc_facebook_enhanced_catalog_attributes_u_s_b_technology,Meta: _wc_facebook_enhanced_catalog_attributes_video_resolution,Meta: _wc_facebook_enhanced_catalog_attributes_watch_band_length,Meta: _wc_facebook_enhanced_catalog_attributes_watch_band_material,Meta: _wc_facebook_enhanced_catalog_attributes_watch_band_width,Meta: _wc_facebook_enhanced_catalog_attributes_watch_case_shape,Meta: _wc_facebook_enhanced_catalog_attributes_sim_types,Meta: _wc_facebook_enhanced_catalog_attributes_rear_facing_camera_resolution,Meta: _wc_facebook_enhanced_catalog_attributes_resolution,Meta: _wc_facebook_enhanced_catalog_attributes_battery_life,Meta: _wc_facebook_enhanced_catalog_attributes_numberof_s_i_m_card_slots,Meta: _wc_facebook_enhanced_catalog_attributes_front_facing_camera_resolution,Meta: _wc_facebook_enhanced_catalog_attributes_display_technology,Meta: _wc_facebook_enhanced_catalog_attributes_connector_type,Meta: _wc_facebook_enhanced_catalog_attributes_cellular_generation,Meta: _wc_facebook_enhanced_catalog_attributes_cellular_band,Meta: _wc_facebook_enhanced_catalog_attributes_cell_phone_service_provider,Meta: _wc_facebook_enhanced_catalog_attributes_bluetooth_technology,Meta: _wc_facebook_enhanced_catalog_attributes_watch_style,Meta: _thumbnail_ext_url,Meta: _wc_facebook_enhanced_catalog_attributes_color,Meta: _wc_facebook_enhanced_catalog_attributes_age_group,Meta: _wc_facebook_enhanced_catalog_attributes_size,Meta: _wc_facebook_enhanced_catalog_attributes_pattern,Meta: _wc_facebook_enhanced_catalog_attributes_material,Meta: _wc_facebook_enhanced_catalog_attributes_gender,Atributo por defecto 1,Atributo por defecto 2,Meta: fb_product_image,Meta: fb_product_price,Meta: fb_product_images
,variable,IUKU0010,,Cartera Tejido Fino,1,0,visible,"Confeccionada en vinipiel, con un diseño minimalista y compatibilidad MagSafe. Ideal para quienes aprecian la estética Apple sin el alto costo. Disfruta de la misma calidad a una fracción del precio.",,,,taxable,,1,,,0,0,,,,,0,,,,CARTERA,,,"https://iuku.store/wp-content/uploads/2025/03/IMG_9300-scaled.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_9301-scaled.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_7202.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_9302-scaled.jpg",,,,,,,,,0,,,,,Color,"Negro, Cafe, Azul, Purpura, Rosa",0,0,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,IUKU0002,,Funda Transparente con Módulo de Metal,1,0,visible,"Fabricada con plástico grueso y firme. Los bordes rígidos absorben impactos y protegen contra caídas, mientras que el interior transparente destaca el diseño original del dispositivo. El módulo de la cámara cuenta con un elegante borde metálico para mayor protección y estilo. Compatible con MagSafe; ideal para trabajos comprometedores sin sacrificar la estética.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,"https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-2.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-13.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-4.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-1.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-8.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-14.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-5.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-12.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-3.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-29.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-18.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-17.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-16.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-23.jpeg, https://iuku.store/wp-content/uploads/2025/03/IMG_0508.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_0507.jpg",,,,,,,,,0,,,,,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16 e, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus, iPhone 17 Air,  iPhone 17, iPhone 17 Pro, iPhone 17 Pro Max",0,0,yes,yes,yes,Color,"Blanco, Negro, Gris",0,0,23916762977912006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,IUKU0015,,Cable Tejido USB-C a USB-C (1m),1,0,visible,,"<span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Diseñado para iPhone 15 y 16 en adelante. Con una longitud de 1 metro y un revestimiento reforzado tipo cordón. Ofrece mayor resistencia y una sensación premium. Soporta hasta 60 watts de potencia, garantizando una carga rápida y segura. Una alternativa duradera y de alta calidad.</span>",,,taxable,,1,3,,0,0,,,,,0,,149,199,CARGADOR,,,"https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-15.jpeg, https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-17.jpeg, https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-19.jpeg, https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-16.jpeg, https://iuku.store/wp-content/uploads/2025/03/C-Cargadores-24.jpeg",,,,,,,,,0,,,,,,,,,yes,yes,yes,,,,,,,8017424251715336,,,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,IUKU0016,,Cable USB-C a Lightning (1m),1,0,visible,,"<span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Diseño alternativo premium al original de Apple. Con textura de goma de alta calidad, ofreciendo la misma sensación y funcionalidad que el cable oficial. Soporta hasta 30 watts de potencia para una carga rápida y eficiente</span>",,,taxable,,1,7,,0,0,,,,,0,,149,199,CARGADOR,,,"https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-11.jpeg, https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-12.jpeg, https://iuku.store/wp-content/uploads/2025/03/L-Cargadores-16.jpeg, https://iuku.store/wp-content/uploads/2025/03/L-Cargadores-17.jpeg",,,,,,,,,0,,,,,,,,,yes,yes,yes,,,,,,,8934285426676106,,,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,IUKU0014,,Cartera de Lujo iuku,1,0,visible,,"<span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Experimenta la elegancia y funcionalidad. Diseñada para quienes buscan un accesorio distinguido.</span>\n\n\n\n<span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Con un formato tipo tríptico, ofrece múltiples ranuras para organizar tus tarjetas esenciales, mientras que su compatibilidad con MagSafe asegura un ajuste perfecto y seguro. Elegancia y practicidad en cada detalle.</span>",,,taxable,,1,4,,notify,0,,,,,0,,299,399,CARTERA,,,"https://iuku.store/wp-content/uploads/2025/03/IMG_9293-scaled.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_9295-scaled.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_9296-scaled.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_9319-scaled.jpg",,,,,,,,,0,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,IUKU0017,,MagSafe,1,0,visible,"<span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Conecta y carga con facilidad gracias a nuestro cargador MagSafe. Su sistema magnético asegura un ajuste perfecto y sin interrupciones, brindando una experiencia práctica y confiable. Con un cable de 1 metro y textura de goma, soporta hasta 30 watts de potencia, ofreciendo la solución perfecta para quienes buscan comodidad, eficiencia y estilo.</span>",,,,taxable,,1,4,,notify,0,,,,,0,,299,399,CARGADOR,,,"https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-22.jpeg, https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-18.jpeg, https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-20.jpeg, https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-21.jpeg, https://iuku.store/wp-content/uploads/2025/03/Cargadores-9.jpeg",,,,,,,,,0,,,,,,,,,yes,yes,yes,,,,,,,9793849170673195,,,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,IUKU0013,,Tarjetero Transparente iuku,1,0,visible,,"<span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Fabricado en plástico rígido. Su acabado completamente transparente permite lucir diseño de tus tarjetas; incluye un clip plegable que funciona como base o soporte siendo un accesorio práctico para que disfrutes de tu contenido favorito.</span>",,,taxable,,backorder,0,,notify,0,,,,,0,,199,299,CARTERA,,,"https://iuku.store/wp-content/uploads/2025/03/IMG_9287-scaled-e1747759561640.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_9289-scaled-e1747759593401.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_9588-scaled.png, https://iuku.store/wp-content/uploads/2025/03/IMG_9286-scaled.jpg",,,,,,,,,0,,,,,,,,,yes,yes,yes,,,,,,,9734515653265232,,,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,IUKU0004,,Funda con Soporte de Anillo,1,0,visible,"Fabricada con plástico flexible de textura gomosa, proporciona un agarre seguro y cómodo. Los bordes de goma absorben impactos, garantizando resistencia a caídas, mientras que la parte trasera mate añade un toque moderno y discreto. Incluye un innovador anillo magnético MagSafe plegable de metal, integrado mediante una bisagra robusta permitiendo colocar el iPhone en posición horizontal y vertical sobre una superficie para disfrutar de videos o videollamadas. Una funda diseñada para quienes buscan practicidad, protección y un diseño todo en uno.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,"https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-14.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-5.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-13.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-8.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-6.jpeg",,,,,,,,,0,,,,,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0,yes,yes,yes,Color,"Negro, Gris, Gold",0,0,9722130937854021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,IUKU0003,,Funda Mate Traslúcida,1,0,visible,"Fabricada con plástico flexible con textura gomosa, ofrece una superficie adherente y cómoda al tacto. Los bordes de goma están diseñados para absorber impactos, proporcionando una protección contra caídas. La parte trasera presenta un acabado mate ahumado, que combina estilo moderno y funcionalidad. Una opción ultra resistente para quienes buscan durabilidad sin renunciar a un diseño práctico y elegante.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,"https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-13.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-9.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-7.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-19.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-16.jpeg",,,,,,,,,0,,,,,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0,yes,yes,yes,Color,"Negro, Gris, Azul, Rosa",0,0,9296926600405309,,,,,,,,,Negro | Gris | Azul | Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-13-500x500.jpeg,,,,,,,,,,,
,variable,IUKU0001,,Funda Ultrafina Traslúcida Rígida,1,0,visible,"Fabricada en plástico rígido ultradelgado con acabado mate traslúcido. Diseñado para permitir el paso de luz, revelando sutilmente los objetos detrás sin ser completamente transparente. Compatible con MagSafe; ideal para usar en oficina, salidas casuales; pensada para vestir elegante.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,"https://iuku.store/wp-content/uploads/2025/02/Untitled-2.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-1.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-7.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-12.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-32.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-26.jpeg",,,,,,,,,0,,,,,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16 e, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus, iPhone 17 Air,  iPhone 17, iPhone 17 Pro, iPhone 17 Pro Max",0,0,yes,yes,yes,Color,"Blanco, Negro",0,0,29263010733347122,,,,,,,,,Blanco | Negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
