ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Brands,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2
729,variable,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,"Fabricada en plástico rígido ultradelgado con acabado mate traslúcido. Diseñado para permitir el paso de luz, revelando sutilmente los objetos detrás sin ser completamente transparente. Compatible con MagSafe; ideal para usar en oficina, salidas casuales; pensada para vestir elegante.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,https://iuku.store/wp-content/uploads/2025/02/IMG_6249-1.jpg,,,,,,,,,0,,Color,"Blanco, Negro",0,0,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0
730,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 12 / 12 Pro",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,1,,Color,Blanco,,0,Modelo,iPhone 12 / 12 Pro,,0
731,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 12 Pro Max",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,2,,Color,Blanco,,0,Modelo,iPhone 12 Pro Max,,0
732,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 13 / 14",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,3,,Color,Blanco,,0,Modelo,iPhone 13 / 14,,0
733,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 13 Pro",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,4,,Color,Blanco,,0,Modelo,iPhone 13 Pro,,0
734,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 13 Pro Max",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,5,,Color,Blanco,,0,Modelo,iPhone 13 Pro Max,,0
735,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 14 Pro",1,0,visible,,,,,taxable,parent,1,9,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,6,,Color,Blanco,,0,Modelo,iPhone 14 Pro,,0
736,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 14 Pro Max",1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,7,,Color,Blanco,,0,Modelo,iPhone 14 Pro Max,,0
737,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 14 Plus",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,8,,Color,Blanco,,0,Modelo,iPhone 14 Plus,,0
738,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 15",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,9,,Color,Blanco,,0,Modelo,iPhone 15,,0
739,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 15 Pro",1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,10,,Color,Blanco,,0,Modelo,iPhone 15 Pro,,0
740,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 15 Pro Max",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,11,,Color,Blanco,,0,Modelo,iPhone 15 Pro Max,,0
741,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 15 Plus",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,12,,Color,Blanco,,0,Modelo,iPhone 15 Plus,,0
742,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 16",1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,13,,Color,Blanco,,0,Modelo,iPhone 16,,0
743,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 16 Pro",1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,14,,Color,Blanco,,0,Modelo,iPhone 16 Pro,,0
744,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 16 Pro Max",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,15,,Color,Blanco,,0,Modelo,iPhone 16 Pro Max,,0
745,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 16 Plus",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,16,,Color,Blanco,,0,Modelo,iPhone 16 Plus,,0
746,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 12 / 12 Pro",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,17,,Color,Negro,,0,Modelo,iPhone 12 / 12 Pro,,0
747,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 12 Pro Max",1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,18,,Color,Negro,,0,Modelo,iPhone 12 Pro Max,,0
748,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 13 / 14",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,19,,Color,Negro,,0,Modelo,iPhone 13 / 14,,0
749,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 13 Pro",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,20,,Color,Negro,,0,Modelo,iPhone 13 Pro,,0
750,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 13 Pro Max",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,21,,Color,Negro,,0,Modelo,iPhone 13 Pro Max,,0
751,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 14 Pro",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,22,,Color,Negro,,0,Modelo,iPhone 14 Pro,,0
752,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 14 Pro Max",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,23,,Color,Negro,,0,Modelo,iPhone 14 Pro Max,,0
753,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 14 Plus",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,24,,Color,Negro,,0,Modelo,iPhone 14 Plus,,0
754,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 15",1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,25,,Color,Negro,,0,Modelo,iPhone 15,,0
755,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 15 Pro",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,26,,Color,Negro,,0,Modelo,iPhone 15 Pro,,0
756,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 15 Pro Max",1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,27,,Color,Negro,,0,Modelo,iPhone 15 Pro Max,,0
757,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 15 Plus",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,28,,Color,Negro,,0,Modelo,iPhone 15 Plus,,0
758,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 16",1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,29,,Color,Negro,,0,Modelo,iPhone 16,,0
759,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 16 Pro",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,30,,Color,Negro,,0,Modelo,iPhone 16 Pro,,0
760,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 16 Pro Max",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,31,,Color,Negro,,0,Modelo,iPhone 16 Pro Max,,0
761,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 16 Plus",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,id:729,,,,,,32,,Color,Negro,,0,Modelo,iPhone 16 Plus,,0
762,variable,,,Funda con marco de metal transparente magsafe,1,0,visible,"Fabricada con plástico grueso y firme. Los bordes rígidos absorben impactos y protegen contra caídas, mientras que el interior transparente destaca el diseño original del dispositivo. El módulo de la cámara cuenta con un elegante borde metálico para mayor protección y estilo. Compatible con MagSafe; ideal para trabajos comprometedores sin sacrificar la estética.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,,,,,,,,,,0,,Color,"Blanco, Negro, Gris",0,0,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0
763,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,1,,Color,Blanco,,0,Modelo,iPhone 12 / 12 Pro,,0
764,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,2,,Color,Blanco,,0,Modelo,iPhone 12 Pro Max,,0
765,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,3,,Color,Blanco,,0,Modelo,iPhone 13 / 14,,0
766,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,4,,Color,Blanco,,0,Modelo,iPhone 13 Pro,,0
767,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,5,,Color,Blanco,,0,Modelo,iPhone 13 Pro Max,,0
768,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,6,,Color,Blanco,,0,Modelo,iPhone 14 Pro,,0
769,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,7,,Color,Blanco,,0,Modelo,iPhone 14 Pro Max,,0
770,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,8,,Color,Blanco,,0,Modelo,iPhone 14 Plus,,0
771,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,9,,Color,Blanco,,0,Modelo,iPhone 15,,0
772,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,10,,Color,Blanco,,0,Modelo,iPhone 15 Pro,,0
773,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,11,,Color,Blanco,,0,Modelo,iPhone 15 Pro Max,,0
774,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,12,,Color,Blanco,,0,Modelo,iPhone 15 Plus,,0
775,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,13,,Color,Blanco,,0,Modelo,iPhone 16,,0
776,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,14,,Color,Blanco,,0,Modelo,iPhone 16 Pro,,0
777,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,15,,Color,Blanco,,0,Modelo,iPhone 16 Pro Max,,0
778,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,16,,Color,Blanco,,0,Modelo,iPhone 16 Plus,,0
779,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,17,,Color,Negro,,0,Modelo,iPhone 12 / 12 Pro,,0
780,variation,,,Funda con marco de metal transparente magsafe,1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,249,299,,,,,,,id:762,,,,,,18,,Color,Negro,,0,Modelo,iPhone 12 Pro Max,,0
